cpd:C00001	H2O; Water
ko:K00619	argA; amino-acid N-acetyltransferase [EC:2.3.1.1]
ko:K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]
ko:K00621	GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]
ko:K00622	nat; arylamine N-acetyltransferase [EC:2.3.1.5]
ko:K00623	CHAT; choline O-acetyltransferase [EC:2.3.1.6]
ko:K00624	E2.3.1.7; carnitine O-acetyltransferase [EC:2.3.1.7]
ko:K00625	E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]
ko:K00626	E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
ko:K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
ko:K00628	GLYAT; glycine N-acyltransferase / glycine N-benzoyltransferase [EC:2.3.1.13 2.3.1.71]
ko:K00629	GPAT1_2; glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
ko:K00630	ATS1; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
ko:K00631	plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
ko:K00632	fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]
ko:K00633	lacA; galactoside O-acetyltransferase [EC:2.3.1.18]
ko:K00634	ptb; phosphate butyryltransferase [EC:2.3.1.19]
ko:K00635	E2.3.1.20; diacylglycerol O-acyltransferase [EC:2.3.1.20]
ko:K00637	SOAT; sterol O-acyltransferase [EC:2.3.1.26]
ko:K00638	catB; chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]
ko:K00639	kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]
ko:K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]
ko:K00641	metX; homoserine O-acetyltransferase [EC:2.3.1.31]
ko:K00643	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]
ko:K00645	fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
ko:K00646	pksF; malonyl-ACP decarboxylase
ko:K00647	fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
ko:K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
ko:K00649	GNPAT; glyceronephosphate O-acyltransferase [EC:2.3.1.42]
ko:K00650	LCAT; lecithin-cholesterol acyltransferase [EC:2.3.1.43]
ko:K00651	metA; homoserine O-succinyltransferase [EC:2.3.1.46]
ko:K00652	bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]
ko:K00653	CDY; chromodomain protein Y [EC:2.3.1.48]
ko:K00654	SPT; serine palmitoyltransferase [EC:2.3.1.50]
ko:K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
ko:K00656	E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]
ko:K00657	speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]
ko:K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
ko:K00659	BAAT; bile acid-CoA:amino acid N-acyltransferase [EC:2.3.1.65 3.1.2.2]
ko:K00660	CHS; chalcone synthase [EC:2.3.1.74]
ko:K00661	maa; maltose O-acetyltransferase [EC:2.3.1.79]
ko:K00662	aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]
ko:K00663	aacA; aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]
ko:K00664	E2.3.1.84; alcohol O-acetyltransferase [EC:2.3.1.84]
ko:K00665	FASN; fatty acid synthase, animal type [EC:2.3.1.85]
ko:K00666	K00666; fatty-acyl-CoA synthase [EC:6.2.1.-]
ko:K00667	FAS2; fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]
ko:K00668	FAS1; fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]
ko:K00669	AANAT; arylalkylamine N-acetyltransferase [EC:2.3.1.87]
ko:K00670	NAA30, MAK3; N-alpha-acetyltransferase 30 [EC:2.3.1.256]
ko:K00671	NMT; glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]
ko:K00672	ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]
ko:K00673	astA; arginine N-succinyltransferase [EC:2.3.1.109]
ko:K00674	dapD; 2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [EC:2.3.1.117]
ko:K00675	nhoA; N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]
ko:K00677	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
ko:K00678	LRAT; phosphatidylcholine-retinol O-acyltransferase [EC:2.3.1.135]
ko:K00679	E2.3.1.158; phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]
ko:K00680	ytmI; uncharacterized N-acetyltransferase [EC:2.3.1.-]
ko:K00681	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
ko:K00682	GGCT; gamma-glutamylcyclotransferase [EC:2.3.2.4]
ko:K00683	QPCT; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]
ko:K00684	aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
ko:K00685	ATE1; arginyl-tRNA---protein transferase [EC:2.3.2.8]
ko:K00686	tgl; protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]
ko:K00687	pbp2B, penA; penicillin-binding protein 2B
ko:K00688	PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]
ko:K00689	E2.4.1.5; dextransucrase [EC:2.4.1.5]
ko:K00690	E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]
ko:K00691	mapA; maltose phosphorylase [EC:2.4.1.8]
ko:K00692	sacB; levansucrase [EC:2.4.1.10]
ko:K00693	GYS; glycogen synthase [EC:2.4.1.11]
ko:K00694	bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]
ko:K00695	E2.4.1.13; sucrose synthase [EC:2.4.1.13]
ko:K00696	E2.4.1.14; sucrose-phosphate synthase [EC:2.4.1.14]
ko:K00697	otsA; trehalose 6-phosphate synthase [EC:2.4.1.15]
ko:K00698	CHS1; chitin synthase [EC:2.4.1.16]
ko:K00699	UGT; glucuronosyltransferase [EC:2.4.1.17]
ko:K00700	GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
ko:K00701	cgt; cyclomaltodextrin glucanotransferase [EC:2.4.1.19]
ko:K00702	E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]
ko:K00703	glgA; starch synthase [EC:2.4.1.21]
ko:K00704	LALBA; alpha-lactalbumin [EC:2.4.1.22]
ko:K00705	malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]
ko:K00706	E2.4.1.34; 1,3-beta-glucan synthase [EC:2.4.1.34]
ko:K00709	ABO; histo-blood group ABO system transferase [EC:2.4.1.40 2.4.1.37]
ko:K00710	GALNT; polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
ko:K00712	tagE; poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]
ko:K00713	waaD; UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]
ko:K00714	WNT8; wingless-type MMTV integration site family, member 8
ko:K00715	B3GALT4; ganglioside galactosyltransferase [EC:2.4.1.62]
ko:K00716	FUT3; galactoside 3(4)-fucosyltransferase 3 [EC:2.4.1.65]
ko:K00717	FUT8; glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]
ko:K00718	FUT1_2; galactoside 2-L-fucosyltransferase 1/2 [EC:2.4.1.69]
ko:K00719	B3GALNT1, B3GALT3; galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase [EC:2.4.1.79]
ko:K00720	UGCG; ceramide glucosyltransferase [EC:2.4.1.80]
ko:K00721	DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
ko:K00722	GBGT1; globoside alpha-N-acetylgalactosaminyltransferase [EC:2.4.1.88]
ko:K00725	B4GALNT1, GALGT; (N-Acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase [EC:2.4.1.92]
ko:K00726	MGAT1; alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101]
ko:K00727	GCNT1; beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase [EC:2.4.1.102]
ko:K00728	POMT; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]
ko:K00729	ALG5; dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]
ko:K00730	OST4; oligosaccharyl transferase complex subunit OST4
ko:K00731	C1GALT1; glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122]
ko:K00733	B4GALT7; xylosylprotein 4-beta-galactosyltransferase [EC:2.4.1.133]
ko:K00734	B3GALT6; galactosylxylosylprotein 3-beta-galactosyltransferase [EC:2.4.1.134]
ko:K00735	B3GAT1; galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 [EC:2.4.1.135]
ko:K00736	MGAT2; alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]
ko:K00737	MGAT3; beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]
ko:K00738	MGAT4A_B; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B [EC:2.4.1.145]
ko:K00739	B3GNT6; acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase [EC:2.4.1.147]
ko:K00741	B3GNT2; N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase [EC:2.4.1.149]
ko:K00742	GCNT2; N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase [EC:2.4.1.150]
ko:K00743	GGTA1; N-acetyllactosaminide 3-alpha-galactosyltransferase [EC:2.4.1.87]
ko:K00744	MGAT5; alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [EC:2.4.1.155]
ko:K00745	E2.4.1.166; raffinose-raffinose alpha-galactotransferase [EC:2.4.1.166]
ko:K00746	CSGALNACT1_2; chondroitin sulfate N-acetylgalactosaminyltransferase 1/2 [EC:2.4.1.174 2.4.1.175]
ko:K00747	CHPF; chondroitin polymerizing factor [EC:2.4.1.175 2.4.1.226]
ko:K00748	lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
ko:K00749	E2.4.1.183; alpha-1,3-glucan synthase [EC:2.4.1.183]
ko:K00750	GYG1, GYG2; glycogenin [EC:2.4.1.186]
ko:K00752	hasA; hyaluronan synthase [EC:2.4.1.212]
ko:K00753	E2.4.1.214; glycoprotein 3-alpha-L-fucosyltransferase [EC:2.4.1.214]
ko:K00756	pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]
ko:K00757	udp, UPP; uridine phosphorylase [EC:2.4.2.3]
ko:K00758	deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]
ko:K00759	APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]
ko:K00760	hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
ko:K00761	upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]
ko:K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
ko:K00763	pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]
ko:K00764	purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]
ko:K00765	hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
ko:K00766	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
ko:K00767	nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
ko:K00768	E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]
ko:K00769	gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
ko:K00770	E2.4.2.24; 1,4-beta-D-xylan synthase [EC:2.4.2.24]
ko:K00771	XYLT; protein xylosyltransferase [EC:2.4.2.26]
ko:K00772	mtaP, MTAP; 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
ko:K00773	tgt, QTRT1; queuine tRNA-ribosyltransferase [EC:2.4.2.29]
ko:K00774	PARP16; poly [ADP-ribose] polymerase 16 [EC:2.4.2.30]
ko:K00775	ART3; ADP-ribosyltransferase 3 [EC:2.4.2.31]
ko:K00776	tox; NAD-diphthamide ADP-ribosyltransferase [EC:2.4.2.36]
ko:K00778	SIAT1, ST6GAL1; beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 1) [EC:2.4.99.1]
ko:K00779	SIAT2, ST6GAL2; beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 2) [EC:2.4.99.1]
ko:K00780	SIAT4A; beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4A) [EC:2.4.99.4]
ko:K00781	SIAT6; neolactotetraosylceramide alpha-2,3-sialyltransferase (sialyltransferase 6) [EC:2.4.99.6]
ko:K00782	lldG; L-lactate dehydrogenase complex protein LldG
ko:K00783	rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
ko:K00784	rnz; ribonuclease Z [EC:3.1.26.11]
ko:K00785	lst; beta-galactosamide-alpha-2,3-sialyltransferase [EC:2.4.99.-]
ko:K00786	E2.4.-.-; glycosyltransferase [EC:2.4.-.-]
ko:K00787	FDPS; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
ko:K00788	thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
ko:K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
ko:K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
ko:K00791	miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]
ko:K00793	ribE, RIB5; riboflavin synthase [EC:2.5.1.9]
ko:K00794	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
ko:K00795	ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
ko:K00796	folP; dihydropteroate synthase [EC:2.5.1.15]
ko:K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]
ko:K00798	MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]
ko:K00799	GST, gst; glutathione S-transferase [EC:2.5.1.18]
ko:K00800	aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
ko:K00801	FDFT1; farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]
ko:K00802	SMS; spermine synthase [EC:2.5.1.22]
ko:K00803	AGPS, agpS; alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]
ko:K00804	GGPS1; geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]
ko:K00805	hepST; heptaprenyl diphosphate synthase [EC:2.5.1.30]
ko:K00806	uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
ko:K00807	LTC4S; leukotriene-C4 synthase [EC:4.4.1.20]
ko:K00808	hss; homospermidine synthase [EC:2.5.1.44]
ko:K00809	DHPS, dys; deoxyhypusine synthase [EC:2.5.1.46]
ko:K00811	ASP5; aspartate aminotransferase, chloroplastic [EC:2.6.1.1]
ko:K00812	aspB; aspartate aminotransferase [EC:2.6.1.1]
ko:K00813	aspC; aspartate aminotransferase [EC:2.6.1.1]
ko:K00814	GPT, ALT; alanine transaminase [EC:2.6.1.2]
ko:K00815	TAT; tyrosine aminotransferase [EC:2.6.1.5]
ko:K00816	CCBL; kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64]
ko:K00817	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]
ko:K00818	E2.6.1.11, argD; acetylornithine aminotransferase [EC:2.6.1.11]
ko:K00819	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]
ko:K00820	glmS, GFPT; glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]
ko:K00821	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
ko:K00822	E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]
ko:K00823	puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19]
ko:K00824	dat; D-alanine transaminase [EC:2.6.1.21]
ko:K00825	AADAT, KAT2; kynurenine/2-aminoadipate aminotransferase [EC:2.6.1.7 2.6.1.39]
ko:K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]
ko:K00827	AGXT2; alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]
ko:K00830	AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]
ko:K00831	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]
ko:K00832	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]
ko:K00833	bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
ko:K00835	avtA; valine--pyruvate aminotransferase [EC:2.6.1.66]
ko:K00836	ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]
ko:K00838	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]
ko:K00839	pucG; (S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]
ko:K00840	astC; succinylornithine aminotransferase [EC:2.6.1.81]
ko:K00841	patA; aminotransferase [EC:2.6.1.-]
ko:K00842	E2.6.1.-E, patB; aminotransferase [EC:2.6.1.-]
ko:K00844	HK; hexokinase [EC:2.7.1.1]
ko:K00845	glk; glucokinase [EC:2.7.1.2]
ko:K00846	KHK; ketohexokinase [EC:2.7.1.3]
ko:K00847	E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]
ko:K00848	rhaB; rhamnulokinase [EC:2.7.1.5]
ko:K00849	galK; galactokinase [EC:2.7.1.6]
ko:K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]
ko:K00851	E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12]
ko:K00852	rbsK, RBKS; ribokinase [EC:2.7.1.15]
ko:K00853	araB; L-ribulokinase [EC:2.7.1.16]
ko:K00854	xylB, XYLB; xylulokinase [EC:2.7.1.17]
ko:K00855	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]
ko:K00856	E2.7.1.20, ADK; adenosine kinase [EC:2.7.1.20]
ko:K00857	tdk, TK; thymidine kinase [EC:2.7.1.21]
ko:K00858	ppnK, NADK; NAD+ kinase [EC:2.7.1.23]
ko:K00859	coaE; dephospho-CoA kinase [EC:2.7.1.24]
ko:K00860	cysC; adenylylsulfate kinase [EC:2.7.1.25]
ko:K00861	RFK, FMN1; riboflavin kinase [EC:2.7.1.26]
ko:K00862	eryA; erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215]
ko:K00863	DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
ko:K00864	glpK, GK; glycerol kinase [EC:2.7.1.30]
ko:K00865	glxK, garK; glycerate 2-kinase [EC:2.7.1.165]
ko:K00866	CKI1; choline kinase [EC:2.7.1.32]
ko:K00867	coaA; type I pantothenate kinase [EC:2.7.1.33]
ko:K00868	pdxK, pdxY; pyridoxine kinase [EC:2.7.1.35]
ko:K00869	E2.7.1.36, MVK, mvaK1; mevalonate kinase [EC:2.7.1.36]
ko:K00870	E2.7.1.37; protein kinase [EC:2.7.1.37]
ko:K00871	PHKG; phosphorylase kinase gamma subunit [EC:2.7.11.19]
ko:K00872	thrB1; homoserine kinase [EC:2.7.1.39]
ko:K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40]
ko:K00874	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
ko:K00875	E2.7.1.47; D-ribulokinase [EC:2.7.1.47]
ko:K00876	udk, UCK; uridine kinase [EC:2.7.1.48]
ko:K00877	THI20; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase / thiaminase [EC:2.7.1.49 2.7.4.7 3.5.99.2]
ko:K00878	thiM; hydroxyethylthiazole kinase [EC:2.7.1.50]
ko:K00879	fucK; L-fuculokinase [EC:2.7.1.51]
ko:K00880	lyxK; L-xylulokinase [EC:2.7.1.53]
ko:K00881	alsK; allose kinase [EC:2.7.1.55]
ko:K00882	fruK; 1-phosphofructokinase [EC:2.7.1.56]
ko:K00883	dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]
ko:K00884	NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]
ko:K00885	nanK; N-acylmannosamine kinase [EC:2.7.1.60]
ko:K00886	ppgK; polyphosphate glucokinase [EC:2.7.1.63]
ko:K00887	dgkA; undecaprenol kinase [EC:2.7.1.66]
ko:K00888	PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]
ko:K00889	PIP5K; 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
ko:K00891	E2.7.1.71, aroK, aroL; shikimate kinase [EC:2.7.1.71]
ko:K00892	gsk; inosine kinase [EC:2.7.1.73]
ko:K00893	DCK; deoxycitidine kinase [EC:2.7.1.74]
ko:K00894	ETNK, EKI; ethanolamine kinase [EC:2.7.1.82]
ko:K00895	pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
ko:K00897	aphA; kanamycin kinase [EC:2.7.1.95]
ko:K00898	PDK2_3_4; pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]
ko:K00899	mtnK; 5-methylthioribose kinase [EC:2.7.1.100]
ko:K00900	E2.7.1.105, PFK; 6-phosphofructo-2-kinase [EC:2.7.1.105]
ko:K00901	dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]
ko:K00902	E2.7.1.108; dolichol kinase [EC:2.7.1.108]
ko:K00903	epsB; protein-tyrosine kinase [EC:2.7.10.2]
ko:K00904	DGUOK; deoxyguanosine kinase [EC:2.7.1.113]
ko:K00905	BCKDK; [3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase [EC:2.7.11.4]
ko:K00906	aceK; isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]
ko:K00907	MYLK; myosin-light-chain kinase [EC:2.7.11.18]
ko:K00908	CAMKK1; calcium/calmodulin-dependent protein kinase kinase 1 [EC:2.7.11.17]
ko:K00909	GRK1_7; rhodopsin kinase [EC:2.7.11.14]
ko:K00910	ADRBK, GRK; beta-adrenergic-receptor kinase [EC:2.7.11.15]
ko:K00911	ITPK; 1D-myo-inositol-triphosphate 3-kinase [EC:2.7.1.127]
ko:K00912	lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]
ko:K00913	ITPK1; inositol-1,3,4-trisphosphate 5/6-kinase / inositol-tetrakisphosphate 1-kinase [EC:2.7.1.159 2.7.1.134]
ko:K00914	PIK3C3, VPS34; phosphatidylinositol 3-kinase [EC:2.7.1.137]
ko:K00915	IPMK, IPK2; inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]
ko:K00916	CTK1; CTD kinase subunit alpha [EC:2.7.11.22 2.7.11.23]
ko:K00917	lacC; tagatose 6-phosphate kinase [EC:2.7.1.144]
ko:K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
ko:K00919	ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]
ko:K00920	PIP4K2; 1-phosphatidylinositol-5-phosphate 4-kinase [EC:2.7.1.149]
ko:K00921	PIKFYVE, FAB1; 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
ko:K00922	PIK3CA_B_D; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta [EC:2.7.1.153]
ko:K00923	PIK3C2; phosphatidylinositol-4-phosphate 3-kinase [EC:2.7.1.154]
ko:K00924	E2.7.1.-; kinase [EC:2.7.1.-]
ko:K00925	ackA; acetate kinase [EC:2.7.2.1]
ko:K00926	arcC; carbamate kinase [EC:2.7.2.2]
ko:K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
ko:K00928	lysC; aspartate kinase [EC:2.7.2.4]
ko:K00929	buk; butyrate kinase [EC:2.7.2.7]
ko:K00930	argB; acetylglutamate kinase [EC:2.7.2.8]
ko:K00931	proB; glutamate 5-kinase [EC:2.7.2.11]
ko:K00932	tdcD; propionate kinase [EC:2.7.2.15]
ko:K00933	E2.7.3.2; creatine kinase [EC:2.7.3.2]
ko:K00934	E2.7.3.3; arginine kinase [EC:2.7.3.3]
ko:K00936	pdtaS; two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]
ko:K00937	ppk; polyphosphate kinase [EC:2.7.4.1]
ko:K00938	E2.7.4.2, mvaK2; phosphomevalonate kinase [EC:2.7.4.2]
ko:K00939	adk, AK; adenylate kinase [EC:2.7.4.3]
ko:K00940	ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]
ko:K00941	thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
ko:K00942	E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]
ko:K00943	tmk, DTYMK; dTMP kinase [EC:2.7.4.9]
ko:K00944	AK3; nucleoside-triphosphate--adenylate kinase [EC:2.7.4.10]
ko:K00945	cmk; CMP/dCMP kinase [EC:2.7.4.25]
ko:K00946	thiL; thiamine-monophosphate kinase [EC:2.7.4.16]
ko:K00947	mosAB; molybdenum storage protein
ko:K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
ko:K00949	thiN, TPK1, THI80; thiamine pyrophosphokinase [EC:2.7.6.2]
ko:K00950	folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
ko:K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]
ko:K00952	nadM; nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]
ko:K00953	FLAD1; FAD synthetase [EC:2.7.7.2]
ko:K00954	E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
ko:K00955	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
ko:K00956	cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
ko:K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
ko:K00958	sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]
ko:K00960	E2.7.7.6; DNA-directed RNA polymerase [EC:2.7.7.6]
ko:K00962	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
ko:K00963	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
